TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
A CIDADE DOS ABISMOS,A CIDADE DOS ABISMOS,BOULEVARD FILMES LTDA,BRASIL,936,2023,TOTAL,NÃO SE APLICA,SIM
A CIDADE DOS PIRATAS,A CIDADE DOS PIRATAS,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,2384,"2019, 2020",TOTAL,NÃO SE APLICA,NÃO
A CIDADE ONDE ENVELHEÇO,A CIDADE ONDE ENVELHEÇO,VITRINE FILMES LTDA,PORTUGAL,9320,"2017, 2018",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,NÃO
A CIDADE É UMA SÓ?,A CIDADE É UMA SÓ?,VITRINE FILMES LTDA,BRASIL,94,"2017, 2018",TOTAL,NÃO SE APLICA,SIM
A CLOCKWORK ORANGE,LARANJA MECÂNICA,CINEMARK BRASIL S.A,ESTADOS UNIDOS,13360,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A CLOCKWORK ORANGE,LARANJA MECÂNICA,F. J. CINES LTDA,ESTADOS UNIDOS,2227,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A CLOCKWORK ORANGE,LARANJA MECÂNICA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1249,"2015, 2020, 2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
A COLEÇÃO INVISÍVEL,A COLEÇÃO INVISÍVEL,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,1317,2014,MAJORITÁRIA,NÃO SE APLICA,NÃO
A COLMEIA,A COLMEIA,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,781,2022,TOTAL,NÃO SE APLICA,SIM
A COMÉDIA DIVINA,A COMÉDIA DIVINA,WMIX DISTRIBUIDORA LTDA.,BRASIL,46117,2017,TOTAL,NÃO SE APLICA,NÃO
A CURE FOR WELLNESS,A CURA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,106046,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
A DESPEDIDA,A DESPEDIDA,GATA CINE PRODUÇÕES LTDA,BRASIL,1529,2016,TOTAL,NÃO SE APLICA,NÃO
A DESTRUIÇÃO DE BERNARDET,A DESTRUIÇÃO DE BERNARDET,PALEOTEVE PRODUÇÃO CULTURAL LTDA,BRASIL,1355,2018,TOTAL,NÃO SE APLICA,NÃO
A DIVISÃO - O FILME,A DIVISÃO - O FILME,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,7472,2020,TOTAL,NÃO SE APLICA,NÃO
A DOG CALLED MONEY,PJ HARVEY: UM CÃO CHAMADO DINHEIRO,ZETA FILMES LTDA,INGLATERRA,43,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
A DOG'S JOURNEY,JUNTOS PARA SEMPRE,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,167263,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
A DOG´S PURPOSE,QUATRO VIDAS DE UM CACHORRO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,509048,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
A DOG´S WAY HOME,A CAMINHO DE CASA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,652651,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
A ERA DOS HUMANOS,A ERA DOS HUMANOS,STORM COMUNICAÇÃO E TECNOLOGIA LTDA,BRASIL,10,2023,TOTAL,NÃO SE APLICA,NÃO
A ESPERA DE LIZ,A ESPERA DE LIZ,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,56,2022,TOTAL,NÃO SE APLICA,SIM
A ESPERANÇA É A ÚLTIMA QUE MORRE,A ESPERANÇA É A ÚLTIMA QUE MORRE,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,108191,2015,TOTAL,NÃO SE APLICA,NÃO
A ESTAÇÃO,A ESTAÇÃO,VACA AMARELA FILMES EIRELI,BRASIL,526,2024,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,NÃO
A ESTRADA 47,A ESTRADA 47,CANNES PRODUÇÕES S/A,BRASIL,33610,2015,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,NÃO
A FAMILY MAN,UM HOMEM DE FAMÍLIA,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,19836,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
A FAMÍLIA DIONTI,A FAMÍLIA DIONTI,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,3333,"2017, 2018",TOTAL,NÃO SE APLICA,SIM
A FAMÍLIA SUBMERSA,A FAMÍLIA SUBMERSA,ESFERA PRODUÇÕES CULTURAIS EIRELI,BRASIL,2538,2019,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
A FARRA DO CIRCO,A FARRA DO CIRCO,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,947,2014,TOTAL,NÃO SE APLICA,SIM
A FEBRE,A FEBRE,VITRINE FILMES LTDA,ALEMANHA,529,"2020, 2021",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA,SIM
A FELICIDADE DAS COISAS,A FELICIDADE DAS COISAS,EMBAUBA FILMES LTDA,BRASIL,1455,"2022, 2023",TOTAL,NÃO SE APLICA,SIM
A FERA NA SELVA,A FERA NA SELVA,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,3119,2019,TOTAL,NÃO SE APLICA,NÃO
A FESTA DE LÉO,A FESTA DE LÉO,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,1351,2024,TOTAL,NÃO SE APLICA,NÃO
A FILHA DO PALHAÇO,A FILHA DO PALHAÇO,EMBAUBA FILMES LTDA,BRASIL,5378,2024,TOTAL,NÃO SE APLICA,SIM
A FILOSOFIA NA ALCOVA,A FILOSOFIA NA ALCOVA,IVAM CABRAL PRODUCOES - ME,BRASIL,2691,"2017, 2018, 2019",TOTAL,NÃO SE APLICA,SIM
A FINADA MÃE DA MADAME,A FINADA MÃE DA MADAME,SANTA LUZIA FILMES E PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,461,2017,TOTAL,NÃO SE APLICA,SIM
A FLOR DO BURITI,A FLOR DO BURITI,EMBAUBA FILMES LTDA,PORTUGAL,4090,"2023, 2024",MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,SIM
A FLORESTA DE JONATHAS,A FLORESTA DE JONATHAS,VITRINE FILMES LTDA,BRASIL,800,"2014, 2015, 2016",TOTAL,NÃO SE APLICA,SIM
A FLORESTA QUE SE MOVE,A FLORESTA QUE SE MOVE,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",BRASIL,8402,2015,MAJORITÁRIA,NÃO SE APLICA,NÃO
A FRENTE FRIA QUE A CHUVA TRAZ,A FRENTE FRIA QUE A CHUVA TRAZ,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1695,2016,TOTAL,NÃO SE APLICA,NÃO
A FUGA DA MULHER GORILA,A FUGA DA MULHER GORILA,VITRINE FILMES LTDA,BRASIL,2,2017,TOTAL,NÃO SE APLICA,SIM
A FÁBRICA DE NADA,A FÁBRICA DE NADA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,PORTUGAL,1738,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
A GENTE,A GENTE,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,563,"2017, 2018",TOTAL,NÃO SE APLICA,SIM
A GIRL MISSING,PERFIL DE UMA MULHER,ZETA FILMES LTDA,FRANÇA,466,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
A GIRL WALKS HOME ALONE AT NIGHT,GAROTA SOMBRIA CAMINHA PELA NOITE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1492,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
A GLÓRIA E A GRAÇA,A GLÓRIA E A GRAÇA,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,5686,2017,TOTAL,NÃO SE APLICA,NÃO
A GRANDE VITORIA,A GRANDE VITORIA,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,26550,2014,TOTAL,NÃO SE APLICA,NÃO
A GUERRA DOS VIZINHOS,A GUERRA DOS VIZINHOS,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,106,"2014, 2015",TOTAL,NÃO SE APLICA,NÃO
A HARD DAY,UM DIA DIFÍCIL,P & M DISTRIBUIDORA DE FILMES LTDA,CORÉIA DO SUL,1853,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
A HAUNTED HOUSE 2,INATIVIDADE PARANORMAL 2,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,296574,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A HAUNTING IN VENICE,A NOITE DAS BRUXAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,291224,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
A HIDDEN LIFE,UMA VIDA OCULTA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ALEMANHA,9169,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
A HISTORIA DA ETERNIDADE,A HISTORIA DA ETERNIDADE,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,14420,2015,TOTAL,NÃO SE APLICA,SIM
A HISTÓRIA DE UM SONHO,A HISTÓRIA DE UM SONHO,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,4910,2019,TOTAL,NÃO SE APLICA,NÃO
A HISTÓRIA DO HOMEM HENRY SOBEL,A HISTÓRIA DO HOMEM HENRY SOBEL,CIRCUITO CINEARTE LTDA,BRASIL,1187,2014,TOTAL,NÃO SE APLICA,SIM
A HOLOGRAM FOR THE KING,NEGÓCIO DAS ARÁBIAS,MARES FILMES EIRELI,ALEMANHA,49150,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
A HORA DA ESTRELA,A HORA DA ESTRELA,VITRINE FILMES LTDA,BRASIL,18969,2024,TOTAL,NÃO SE APLICA,SIM
A HORA E A VEZ DE AUGUSTO MATRAGA,A HORA E A VEZ DE AUGUSTO MATRAGA,NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.,BRASIL,2132,2015,TOTAL,NÃO SE APLICA,NÃO
A ILHA DOS ILÚS,A ILHA DOS ILÚS,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1411,2023,TOTAL,NÃO SE APLICA,NÃO
A IMAGEM DA TOLERÂNCIA,A IMAGEM DA TOLERÂNCIA,CIRCUITO CINEARTE LTDA,BRASIL,671,2018,TOTAL,NÃO SE APLICA,NÃO
A IRMANDADE,A IRMANDADE,FREDERICO DA CRUZ MACHADO - ME,BRASIL,684,2019,TOTAL,NÃO SE APLICA,NÃO
A JANGADA DE WELLES,A JANGADA DE WELLES,SEREIA DISTRIBUIÇÃO DE FILMES LTDA,BRASIL,1014,2022,TOTAL,NÃO SE APLICA,SIM
A JAULA,A JAULA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,22967,2022,TOTAL,NÃO SE APLICA,NÃO
A JOURNAL FOR JORDAN,UM DIÁRIO PARA JORDAN: MEMÓRIAS DE AMOR E PERDA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,227,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
A LASANHA ASSASSINA - A REVOLTA DAS MASSAS,A LASANHA ASSASSINA - A REVOLTA DAS MASSAS,44 BICO LARGO COMERCIAL LTDA,BRASIL,74,2023,TOTAL,NÃO SE APLICA,NÃO
A LATE QUARTET,O ÚLTIMO CONCERTO,CANNES PRODUÇÕES S/A,ESTADOS UNIDOS,14929,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A LEI DA ÁGUA (NOVO CÓDIGO FLORESTAL),A LEI DA ÁGUA (NOVO CÓDIGO FLORESTAL),O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,1611,2015,TOTAL,NÃO SE APLICA,SIM
A LITTLE CHAOS,UM POUCO DE CAOS,WMIX DISTRIBUIDORA LTDA.,REINO UNIDO,16937,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
A LONG WAY DOWN,UMA LONGA QUEDA,ANTONIO FERNANDES FILMES LTDA,INGLATERRA,4079,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A LOUCURA ENTRE NÓS,A LOUCURA ENTRE NÓS,AGUAS DE MARCO FILMES LTDA ME,BRASIL,5173,"2016, 2017",TOTAL,NÃO SE APLICA,NÃO
A LUNETA DO TEMPO,A LUNETA DO TEMPO,P & M DISTRIBUIDORA DE FILMES LTDA,BRASIL,6830,2016,TOTAL,NÃO SE APLICA,NÃO
A LUNETA DO TEMPO,A LUNETA DO TEMPO,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,BRASIL,51,2017,TOTAL,NÃO SE APLICA,NÃO
A LUTA DO SÉCULO,A LUTA DO SÉCULO,VITRINE FILMES LTDA,BRASIL,2710,"2016, 2018, 2019",TOTAL,NÃO SE APLICA,SIM
A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,308102,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
A MAN CALLED OVE,UM HOMEM CHAMADO OVE,ANTONIO FERNANDES FILMES LTDA,SUÉCIA,13394,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
A MAN IN THE DARK,O HOMEM NAS TREVAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,770406,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
A MATÉRIA NOTURNA,A MATÉRIA NOTURNA,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,431,2024,TOTAL,NÃO SE APLICA,SIM
A MENINA ÍNDIGO,A MENINA ÍNDIGO,FILM CONNECTION DISTRIBUIDORA DE FILMES LTDA,BRASIL,13456,2017,TOTAL,NÃO SE APLICA,NÃO
A MESMA PARTE DE UM HOMEM,A MESMA PARTE DE UM HOMEM,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,683,2022,TOTAL,NÃO SE APLICA,SIM
A METADE DE NÓS,A METADE DE NÓS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,1043,2024,TOTAL,NÃO SE APLICA,SIM
A MILLION WAYS TO DIE IN THE WEST,"MILHÃO DE MANEIRAS DE PEGAR NA PISTOLA, UM",H20 PRODUÇÕES LTDA,ESTADOS UNIDOS,24024,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A MISTERIOSA MORTE DE PÉROLA,A MISTERIOSA MORTE DE PÉROLA,EMBAUBA FILMES LTDA,BRASIL,157,"2018, 2019",TOTAL,NÃO SE APLICA,SIM
A MONSTER CALLS,SETE MINUTOS DEPOIS DA MEIA NOITE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESPANHA,18633,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
A MONSTER WITH THOUSAND HEADS,MONSTRO DE MIL CABEÇAS,RJ DISTRIBUIDORA DE FILMES LTDA,MÉXICO,1032,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
A MONTANHA DE MATTERHORN,A MONTANHA MATTERHORN,MOSTRA INTERNACIONAL DE CINEMA LTDA,HOLANDA,923,"2014, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
A MORTE DE J.P.CUENCA,A MORTE DE J.P.CUENCA,DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,339,2016,TOTAL,NÃO SE APLICA,SIM
A MORTE HABITA À NOITE,A MORTE HABITA À NOITE,VITRINE FILMES LTDA,BRASIL,900,"2022, 2023",TOTAL,NÃO SE APLICA,NÃO
A MOST WANTED MAN,O HOMEM MAIS PROCURADO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ALEMANHA,38611,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
A MOÇA DO CALENDÁRIO,A MOÇA DO CALENDÁRIO,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,2716,2018,TOTAL,NÃO SE APLICA,SIM
A MULHER DA LUZ PRÓPRIA,A MULHER DA LUZ PRÓPRIA,MERCURIO PRODUCOES LTDA,BRASIL,13,2021,TOTAL,NÃO SE APLICA,SIM
A MULHER DO MEU MARIDO,A MULHER DO MEU MARIDO,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,ARGENTINA,3018,2019,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
A MÃE,A MÃE,IVAN CARLOS DE MELO PRODUÇÕES CULTURAIS,BRASIL,1627,"2022, 2023",TOTAL,NÃO SE APLICA,NÃO
A MÚSICA DO TEMPO - DO SONHO DO IMPÉRIO AO IMPÉRIO DO SONHO,A MÚSICA DO TEMPO - DO SONHO DO IMPÉRIO AO IMPÉRIO DO SONHO,CIRCUITO CINEARTE LTDA,BRASIL,317,2019,TOTAL,NÃO SE APLICA,SIM
A MÚSICA NATUREZA DE LÉA FREIRE,A MÚSICA NATUREZA DE LÉA FREIRE,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,BRASIL,72,2024,TOTAL,NÃO SE APLICA,SIM
A NAÇÃO QUE NÃO ESPEROU POR DEUS,A NAÇÃO QUE NÃO ESPEROU POR DEUS,VITRINE FILMES LTDA,BRASIL,1344,2015,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,SIM
A NOITE AMARELA,A NOITE AMARELA,VITRINE FILMES LTDA,BRASIL,1824,"2019, 2020",TOTAL,NÃO SE APLICA,SIM
A NOITE DA VIRADA,A NOITE DA VIRADA,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,348451,"2014, 2015",TOTAL,NÃO SE APLICA,NÃO
A NUVEM ROSA,A NUVEM ROSA,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,389,"2021, 2022",TOTAL,NÃO SE APLICA,SIM
A OESTE DO FIM DO MUNDO,A OESTE DO FIM DO MUNDO,CIRCUITO CINEARTE LTDA,BRASIL,4780,"2014, 2015",MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,NÃO
A ONDA DA VIDA,A ONDA DA VIDA,IDÉIAS IDEAIS DESIGN & PRODUÇÕES LTDA,BRASIL,4711,2014,TOTAL,NÃO SE APLICA,SIM
A OUTRA PELE,A OUTRA PELE,REALIZART PRODUÇÃO AUDIOVISUAL LTDA,ARGENTINA,135,2021,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
A PAIXÃO SEGUNDO G.H,A PAIXÃO SEGUNDO G.H,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,23474,2024,TOTAL,NÃO SE APLICA,SIM
A PARTE DO MUNDO QUE ME PERTENCE,A PARTE DO MUNDO QUE ME PERTENCE,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,571,2019,TOTAL,NÃO SE APLICA,SIM
A PEDRA DA SERPENTE,A PEDRA DA SERPENTE,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,507,2019,TOTAL,NÃO SE APLICA,SIM
A PELADA,A PELADA,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,7521,2014,MINORITÁRIA,NÃO SE APLICA,SIM
A PERFECT DAY,UM DIA PERFEITO,ESFERA PRODUÇÕES CULTURAIS EIRELI,ESPANHA,6881,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
A PONTE DE BAMBU,A PONTE DE BAMBU,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,50,2021,TOTAL,NÃO SE APLICA,NÃO
A PORTA AO LADO,A PORTA AO LADO,VITRINE FILMES LTDA,BRASIL,1017,2023,TOTAL,NÃO SE APLICA,NÃO
A PRAGA,A PRAGA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1505,"2023, 2024",TOTAL,NÃO SE APLICA,SIM
A PRIMEIRA MORTE DE JOANA,A PRIMEIRA MORTE DE JOANA,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,3922,2023,TOTAL,NÃO SE APLICA,NÃO
A PRINCESA DA YAKUZA,A PRINCESA DA YAKUZA,WARNER BROS. (SOUTH) INC.,BRASIL,108,2021,TOTAL,NÃO SE APLICA,NÃO
A PROMISE,UMA PROMESSA,MARES FILMES EIRELI,BÉLGICA,12136,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
A QUARTA PAREDE,A QUARTA PAREDE,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1455,2019,TOTAL,NÃO SE APLICA,SIM
A QUEDA,A QUEDA,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,354,"2022, 2023",TOTAL,NÃO SE APLICA,SIM
A QUEM INTERESSA A IGNORÂNCIA?,A QUEM INTERESSA A IGNORÂNCIA?,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,45,2021,TOTAL,NÃO SE APLICA,SIM
A QUIET PASSION,ALÉM DAS PALAVRAS,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,25500,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
A QUIET PLACE,UM LUGAR SILENCIOSO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1507076,"2018, 2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1443063,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
A QUIET PLACE: PART II,UM LUGAR SILENCIOSO - PARTE II,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,618577,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
A RAINY DAY IN NEW YORK,UM DIA DE CHUVA EM NOVA YORK,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,147805,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
A REPARTIÇÃO DO TEMPO,A REPARTIÇÃO DO TEMPO,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,2515,"2017, 2018",TOTAL,NÃO SE APLICA,NÃO
A ROSA AZUL DE NOVALIS,A ROSA AZUL DE NOVALIS,VITRINE FILMES LTDA,BRASIL,978,"2019, 2020",TOTAL,NÃO SE APLICA,SIM
A RUPTURA,A RUPTURA,FRAIHA PRODUÇÕES DE EVENTOS E EDITORA LTDA,BRASIL,28,2023,TOTAL,NÃO SE APLICA,SIM
A SERENA ONDA QUE O MAR ME TROUXE,A SERENA ONDA QUE O MAR ME TROUXE,INTERAGIR CULTURAL PRODUCOES CINEMATOGRAFICAS LTDA,BRASIL,406,2024,TOTAL,NÃO SE APLICA,SIM
A SERPENTE,A SERPENTE,WILLIAM CUBITS CAPELA,BRASIL,527,2019,TOTAL,NÃO SE APLICA,NÃO
A SIMPLE FAVOR,UM PEQUENO FAVOR,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,140860,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
A SOGRA PERFEITA,A SOGRA PERFEITA,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,66466,2021,TOTAL,NÃO SE APLICA,NÃO
A SOMBRA DO PAI,A SOMBRA DO PAI,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,2921,"2019, 2020",TOTAL,NÃO SE APLICA,NÃO
A SORTE EM SUAS MÃOS,A SORTE EM SUAS MÃOS,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,120,2014,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,NÃO
A STAR IS BORN,NASCE UMA ESTRELA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1436213,"2018, 2019, 2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
A STREETCAR NAMED DESIRE,UM BONDE CHAMADO DESEJO,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,INGLATERRA,169,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
A SUPERFÍCIE DA SOMBRA,A SUPERFÍCIE DA SOMBRA,PANDA FILMES LTDA,BRASIL,1178,2018,TOTAL,NÃO SE APLICA,NÃO
A SUSPEITA,A SUSPEITA,WMIX DISTRIBUIDORA LTDA.,BRASIL,7518,2022,TOTAL,NÃO SE APLICA,NÃO
A TALE OF LOVE AND DARKNESS,DE AMOR E TREVAS,P & M DISTRIBUIDORA DE FILMES LTDA,ISRAEL,8148,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
A TAXI DRIVER,O MOTORISTA DE TÁXI,ANTONIO FERNANDES FILMES LTDA,CORÉIA DO SUL,2234,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
A TERRA NEGRA DOS KAWA,A TERRA NEGRA DOS KAWA,LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME,BRASIL,682,2023,TOTAL,NÃO SE APLICA,SIM
A TERRA VERMELHA,A TERRA VERMELHA,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1561,2017,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
A THOUSAND TIMES GOOD NIGHT,MIL VEZES BOA NOITE,MARES FILMES EIRELI,NORUEGA,49823,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
A TORRE,A TORRE,VITRINE FILMES LTDA,BRASIL,48,2021,TOTAL,NÃO SE APLICA,NÃO
A TOUCH OF SIN,UM TOQUE DE PECADO,SM DISTRIBUIDORA DE FILMES LTDA,CHINA,1721,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
