TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
A QUARTA PAREDE,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1455,2019
A QUEDA,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,354,"2022, 2023"
A QUEM INTERESSA A IGNORÂNCIA?,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,45,2021
A QUIET PASSION,ALÉM DAS PALAVRAS,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,25500,"2017, 2018"
A QUIET PLACE,UM LUGAR SILENCIOSO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1507076,"2018, 2019, 2020"
A QUIET PLACE: DAY ONE,UM LUGAR SILENCIOSO - DIA UM,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1443063,2024
A QUIET PLACE: PART II,UM LUGAR SILENCIOSO - PARTE II,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,618577,"2020, 2021"
A RAINY DAY IN NEW YORK,UM DIA DE CHUVA EM NOVA YORK,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,147805,"2019, 2020"
A REPARTIÇÃO DO TEMPO,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,2515,"2017, 2018"
A ROSA AZUL DE NOVALIS,,VITRINE FILMES LTDA,BRASIL,978,"2019, 2020"
A RUPTURA,,FRAIHA PRODUÇÕES DE EVENTOS E EDITORA LTDA,BRASIL,28,2023
A SERENA ONDA QUE O MAR ME TROUXE,,INTERAGIR CULTURAL PRODUCOES CINEMATOGRAFICAS LTDA,BRASIL,406,2024
A SERPENTE,,WILLIAM CUBITS CAPELA,BRASIL,527,2019
A SIMPLE FAVOR,UM PEQUENO FAVOR,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,140860,2018
A SOGRA PERFEITA,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,66466,2021
A SOMBRA DO PAI,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,2921,"2019, 2020"
A SORTE EM SUAS MÃOS,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,120,2014
A STAR IS BORN,NASCE UMA ESTRELA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1436213,"2018, 2019, 2020, 2021"
